TESTER completó el nivel 1 en 12,745 segundos.
PEPITO completó el nivel 3 en 0,156 segundos.
PEPITO completó el nivel 4 en 0,187 segundos.
PEPITO completó el nivel 5 en 0,172 segundos.
PEPITO completó el nivel 6 en 0,172 segundos.
PEPITO completó el nivel 7 en 0,14 segundos.
PEPITO completó el nivel 8 en 0,172 segundos.
PEPITO completó el nivel 9 en 0,156 segundos.
PEPITO completó el nivel 10 en 0,14 segundos.
PEPITO completó el nivel 11 en 0,156 segundos.
PEPITO completó el nivel 12 en 0,14 segundos.
PEPITO completó el nivel 13 en 0,141 segundos.
PEPITO completó el nivel 14 en 0,14 segundos.
PEPITO completó el nivel 1 en 1,779 segundos.
PEPITO completó el nivel 2 en 0,156 segundos.
PEPITO completó el nivel 3 en 0,171 segundos.
PEPITO completó el nivel 4 en 0,156 segundos.
PEPITO completó el nivel 5 en 0,141 segundos.
PEPITO completó el nivel 6 en 0,156 segundos.
PEPITO completó el nivel 7 en 0,14 segundos.
PEPITO completó el nivel 8 en 0,14 segundos.
PEPITO completó el nivel 9 en 0,156 segundos.
PEPITO completó el nivel 10 en 0,156 segundos.
PEPITO completó el nivel 11 en 0,141 segundos.
PEPITO completó el nivel 12 en 0,156 segundos.
PEPITO completó el nivel 13 en 0,156 segundos.
PEPITO completó el nivel 14 en 0,156 segundos.
PEPITO completó el nivel 1 en 1,529 segundos.
PEPITO completó el nivel 2 en 0,171 segundos.
PEPITO completó el nivel 3 en 0,156 segundos.
PEPITO completó el nivel 4 en 0,172 segundos.
PEPITO completó el nivel 5 en 0,187 segundos.
PEPITO completó el nivel 6 en 0,172 segundos.
PEPITO completó el nivel 7 en 0,187 segundos.
PEPITO completó el nivel 8 en 0,171 segundos.
PEPITO completó el nivel 9 en 0,188 segundos.
PEPITO completó el nivel 10 en 0,187 segundos.
PEPITO completó el nivel 11 en 0,187 segundos.
PEPITO completó el nivel 12 en 0,172 segundos.
PEPITO completó el nivel 13 en 0,202 segundos.
PEPITO completó el nivel 14 en 0,203 segundos.
PEPITO completó el nivel 1 en 1,701 segundos.
PEPITO completó el nivel 2 en 0,187 segundos.
PEPITO completó el nivel 3 en 0,171 segundos.
PEPITO completó el nivel 4 en 0,25 segundos.
PEPITO completó el nivel 5 en 0,281 segundos.
PEPITO completó el nivel 6 en 0,14 segundos.
PEPITO completó el nivel 7 en 0,109 segundos.
PEPITO completó el nivel 8 en 0,156 segundos.
PEPITO completó el nivel 9 en 0,11 segundos.
PEPITO completó el nivel 10 en 0,109 segundos.
PEPITO completó el nivel 11 en 0,125 segundos.
PEPITO completó el nivel 12 en 0,156 segundos.
PEPITO completó el nivel 13 en 0,156 segundos.
PEPITO completó el nivel 14 en 0,202 segundos.
PEPITO completó el nivel 1 en 1,248 segundos.
PEPITO completó el nivel 2 en 0,172 segundos.
PEPITO completó el nivel 3 en 0,172 segundos.
PEPITO completó el nivel 4 en 0,156 segundos.
PEPITO completó el nivel 5 en 0,171 segundos.
PEPITO completó el nivel 6 en 0,172 segundos.
PEPITO completó el nivel 7 en 0,171 segundos.
PEPITO completó el nivel 8 en 0,172 segundos.
PEPITO completó el nivel 9 en 0,187 segundos.
PEPITO completó el nivel 10 en 0,187 segundos.
PEPITO completó el nivel 11 en 0,172 segundos.
PEPITO completó el nivel 12 en 0,171 segundos.
PEPITO completó el nivel 13 en 0,172 segundos.
PEPITO completó el nivel 14 en 0,156 segundos.
PEPITO completó el nivel 1 en 1,154 segundos.
PEPITO completó el nivel 2 en 0,172 segundos.
PEPITO completó el nivel 3 en 0,203 segundos.
PEPITO completó el nivel 4 en 0,171 segundos.
PEPITO completó el nivel 5 en 0,203 segundos.
PEPITO completó el nivel 6 en 0,187 segundos.
PEPITO completó el nivel 7 en 0,187 segundos.
PEPITO completó el nivel 8 en 0,172 segundos.
PEPITO completó el nivel 9 en 0,187 segundos.
PEPITO completó el nivel 10 en 0,297 segundos.
PEPITO completó el nivel 11 en 0,14 segundos.
PEPITO completó el nivel 12 en 0,296 segundos.
PEPITO completó el nivel 13 en 0,156 segundos.
PEPITO completó el nivel 14 en 0,156 segundos.
JOSELO completó el nivel 22 en 191,477 segundos.
JOSELO completó el nivel 23 en 0,031 segundos.
PESCADO completó el nivel 1 en 356,055 segundos.
PESCADO completó el nivel 2 en 0,156 segundos.
PESCADO completó el nivel 3 en 0,172 segundos.
PESCADO completó el nivel 4 en 0,156 segundos.
PESCADO completó el nivel 5 en 0,14 segundos.
PESCADO completó el nivel 6 en 0,125 segundos.
PESCADO completó el nivel 7 en 0,125 segundos.
PESCADO completó el nivel 8 en 0,125 segundos.
PESCADO completó el nivel 9 en 0,249 segundos.
PESCADO completó el nivel 10 en 0,749 segundos.
PESCADO completó el nivel 11 en 0,203 segundos.
PESCADO completó el nivel 12 en 0,218 segundos.
PESCADO completó el nivel 13 en 0,188 segundos.
PESCADO completó el nivel 14 en 0,187 segundos.
XANIA completó el nivel 1 en 67,934 segundos.
XANIA completó el nivel 2 en 0,031 segundos.
XANIA completó el nivel 3 en 2,355 segundos.
XANIA completó el nivel 4 en 4,462 segundos.
XANIA completó el nivel 5 en 6,006 segundos.
XANIA completó el nivel 6 en 0 segundos.
XANIA completó el nivel 7 en 7,176 segundos.
XANIA completó el nivel 8 en 1,701 segundos.
XANIA completó el nivel 1 en 25,989 segundos.
XANIA completó el nivel 2 en 0,047 segundos.
XANIA completó el nivel 3 en 12,277 segundos.
XANIA completó el nivel 4 en 10,359 segundos.
XANIA completó el nivel 5 en 9,547 segundos.
XANIA completó el nivel 6 en 0 segundos.
XANIA completó el nivel 7 en 4,384 segundos.
XANIA completó el nivel 8 en 18,564 segundos.
XANIA completó el nivel 9 en 13,166 segundos.
XANIA completó el nivel 10 en 10,577 segundos.
XANIA completó el nivel 11 en 51,325 segundos.
XANIA completó el nivel 12 en 19,906 segundos.
XANIA completó el nivel 1 en 97,909 segundos.
XANIA completó el nivel 2 en 0 segundos.
XANIA completó el nivel 3 en 0 segundos.
XANIA completó el nivel 4 en 0,015 segundos.
XANIA completó el nivel 5 en 2,527 segundos.
XANIA completó el nivel 6 en 0 segundos.
XANIA completó el nivel 7 en 20,499 segundos.
XANIA completó el nivel 8 en 7,94 segundos.
XANIA completó el nivel 9 en 147,936 segundos.
XANIA completó el nivel 10 en 18,018 segundos.
XANIA completó el nivel 11 en 18,518 segundos.
XANIA completó el nivel 12 en 14,508 segundos.
XANIA completó el nivel 13 en 169,064 segundos.
XANIA completó el nivel 14 en 10,764 segundos.
XANIA completó el nivel 15 en 17,363 segundos.
XANIA completó el nivel 16 en 161,151 segundos.
XANIA completó el nivel 17 en 0,015 segundos.
XANIA completó el nivel 18 en 0 segundos.
XANIA completó el nivel 19 en 0 segundos.
XANIA completó el nivel 20 en 0 segundos.
XANIA completó el nivel 21 en 11,373 segundos.
XANIA completó el nivel 22 en 0 segundos.
XANIA completó el nivel 23 en 0,015 segundos.
XANIA completó el nivel 24 en 0 segundos.
XANIA completó el nivel 25 en 0 segundos.
XANIA completó el nivel 26 en 0 segundos.
XANIA completó el nivel 27 en 0 segundos.
XANIA completó el nivel 28 en 0 segundos.
XANIA completó el nivel 29 en 0 segundos.
XANIA completó el nivel 30 en 0 segundos.
XANIA completó el nivel 31 en 0 segundos.
XANIA completó el nivel 32 en 0 segundos.
XANIA completó el nivel 33 en 0 segundos.
XANIA completó el nivel 34 en 0,016 segundos.
XANIA completó el nivel 35 en 23,852 segundos.
XANIA completó el nivel 36 en 0 segundos.
XANIA completó el nivel 37 en 0 segundos.
XANIA completó el nivel 38 en 11,233 segundos.
XANIA completó el nivel 39 en 0,015 segundos.
ANNAWEN completó el nivel 1 en 112,743 segundos.
ANNAWEN completó el nivel 2 en 11,872 segundos.
ANNAWEN completó el nivel 3 en 0 segundos.
ANNAWEN completó el nivel 4 en 4,415 segundos.
ANNAWEN completó el nivel 5 en 1,762 segundos.
ANNAWEN completó el nivel 6 en 1,778 segundos.
ANNAWEN completó el nivel 7 en 1,732 segundos.
ANNAWEN completó el nivel 8 en 6,178 segundos.
ANNAWEN completó el nivel 9 en 43,415 segundos.
ANNAWEN completó el nivel 10 en 33,649 segundos.
ANNAWEN completó el nivel 11 en 20,171 segundos.
ANNAWEN completó el nivel 12 en 23,837 segundos.
ANNAWEN completó el nivel 13 en 176,468 segundos.
ANNAWEN completó el nivel 14 en 37,456 segundos.
ANNAWEN completó el nivel 1 en 757,762 segundos.
ANNAWEN completó el nivel 2 en 0 segundos.
ANNAWEN completó el nivel 3 en 1,872 segundos.
ANNAWEN completó el nivel 4 en 2,465 segundos.
ANNAWEN completó el nivel 5 en 5,632 segundos.
ANNAWEN completó el nivel 6 en 1,607 segundos.
ANNAWEN completó el nivel 7 en 1,56 segundos.
ANNAWEN completó el nivel 8 en 3,166 segundos.
ZEDFRIT completó el nivel 1 en 27,976 segundos.
ZEDFRIT completó el nivel 2 en 4,103 segundos.
ZEDFRIT completó el nivel 3 en 1,217 segundos.
ZEDFRIT completó el nivel 4 en 0 segundos.
ZEDFRIT completó el nivel 5 en 4,711 segundos.
ZEDFRIT completó el nivel 6 en 6,49 segundos.
ZEDFRIT completó el nivel 7 en 2,059 segundos.
ZEDFRIT completó el nivel 8 en 16,006 segundos.
ZEDFRIT completó el nivel 9 en 22,807 segundos.
ZEDFRIT completó el nivel 10 en 9,688 segundos.
ZEDFRIT completó el nivel 11 en 25,46 segundos.
ZEDFRIT completó el nivel 12 en 49,702 segundos.
ZEDFRIT completó el nivel 1 en 75,789 segundos.
ZEDFRIT completó el nivel 2 en 0 segundos.
ZEDFRIT completó el nivel 3 en 0 segundos.
ZEDFRIT completó el nivel 4 en 4,525 segundos.
ZEDFRIT completó el nivel 5 en 0 segundos.
ZEDFRIT completó el nivel 6 en 35,521 segundos.
ZEDFRIT completó el nivel 7 en 1,513 segundos.
ZEDFRIT completó el nivel 8 en 3,994 segundos.
ZEDFRIT completó el nivel 1 en 28,017 segundos.
ZEDFRIT completó el nivel 2 en 0 segundos.
ZEDFRIT completó el nivel 3 en 0,016 segundos.
ZEDFRIT completó el nivel 4 en 1,653 segundos.
ZEDFRIT completó el nivel 5 en 0 segundos.
ZEDFRIT completó el nivel 6 en 9,516 segundos.
ZEDFRIT completó el nivel 7 en 5,226 segundos.
ZEDFRIT completó el nivel 8 en 15,132 segundos.
ZEDFRIT completó el nivel 9 en 3,12 segundos.
ZEDFRIT completó el nivel 10 en 137,406 segundos.
ZEDFRIT completó el nivel 11 en 35,397 segundos.
ZEDFRIT completó el nivel 12 en 40,326 segundos.
ZEDFRIT completó el nivel 13 en 1555,513 segundos.
ZEDFRIT completó el nivel 14 en 61,621 segundos.
ZEDFRIT completó el nivel 15 en 39,671 segundos.
ANNAWEN completó el nivel 9 en 209,29 segundos.
ANNAWEN completó el nivel 10 en 0 segundos.
ANNAWEN completó el nivel 11 en 0 segundos.
ANNAWEN completó el nivel 12 en 0 segundos.
ANNAWEN completó el nivel 13 en 1,467 segundos.
ANNAWEN completó el nivel 14 en 0 segundos.
ANNAWEN completó el nivel 15 en 38,5 segundos.
ANNAWEN completó el nivel 16 en 0 segundos.
ANNAWEN completó el nivel 17 en 0 segundos.
ANNAWEN completó el nivel 18 en 0 segundos.
ANNAWEN completó el nivel 19 en 0 segundos.
ANNAWEN completó el nivel 20 en 0 segundos.
ANNAWEN completó el nivel 21 en 11,513 segundos.
ANNAWEN completó el nivel 22 en 0,015 segundos.
ANNAWEN completó el nivel 23 en 15,725 segundos.
ANNAWEN completó el nivel 24 en 8,705 segundos.
ANNAWEN completó el nivel 25 en 0 segundos.
ANNAWEN completó el nivel 26 en 29,874 segundos.
ANNAWEN completó el nivel 27 en 11,529 segundos.
ANNAWEN completó el nivel 28 en 3,135 segundos.
ANNAWEN completó el nivel 29 en 13,931 segundos.
ANNAWEN completó el nivel 30 en 156,068 segundos.
ANNAWEN completó el nivel 31 en 27,971 segundos.
ANNAWEN completó el nivel 32 en 0 segundos.
ANNAWEN completó el nivel 33 en 0 segundos.
ANNAWEN completó el nivel 34 en 4,009 segundos.
ANNAWEN completó el nivel 35 en 1,794 segundos.
ANNAWEN completó el nivel 36 en 145,84 segundos.
ANNAWEN completó el nivel 37 en 5,601 segundos.
ANNAWEN completó el nivel 38 en 9,734 segundos.
ANNAWEN completó el nivel 39 en 7,036 segundos.
ZEDFRIT completó el nivel 16 en 271,162 segundos.
ZEDFRIT completó el nivel 17 en 18,876 segundos.
ZEDFRIT completó el nivel 18 en 0 segundos.
ORESH completó el nivel 1 en 23,362 segundos.
ORESH completó el nivel 2 en 0,016 segundos.
ORESH completó el nivel 3 en 1,248 segundos.
ORESH completó el nivel 4 en 3,526 segundos.
ORESH completó el nivel 5 en 4,882 segundos.
ORESH completó el nivel 6 en 4,103 segundos.
ORESH completó el nivel 7 en 1,155 segundos.
ORESH completó el nivel 8 en 4,196 segundos.
ORESH completó el nivel 9 en 63,337 segundos.
ORESH completó el nivel 10 en 36,956 segundos.
ORESH completó el nivel 11 en 21,887 segundos.
ORESH completó el nivel 12 en 25,054 segundos.
ORESH completó el nivel 13 en 299,58 segundos.
ORESH completó el nivel 14 en 145,985 segundos.
ORESH completó el nivel 15 en 39,812 segundos.
ORESH completó el nivel 16 en 65,177 segundos.
ORESH completó el nivel 17 en 1333,06 segundos.
ORESH completó el nivel 18 en 55,74 segundos.
ORESH completó el nivel 19 en 88,374 segundos.
ORESH completó el nivel 20 en 75,676 segundos.
ORESH completó el nivel 21 en 163,364 segundos.
ORESH completó el nivel 22 en 385,448 segundos.
ORESH completó el nivel 23 en 123,958 segundos.
ORESH completó el nivel 24 en 152,163 segundos.
KEOPS completó el nivel 1 en 53,915 segundos.
KEOPS completó el nivel 2 en 0 segundos.
KEOPS completó el nivel 3 en 2,871 segundos.
KEOPS completó el nivel 4 en 2,667 segundos.
KEOPS completó el nivel 5 en 2,964 segundos.
KEOPS completó el nivel 6 en 1,591 segundos.
KEOPS completó el nivel 7 en 1,498 segundos.
KEOPS completó el nivel 8 en 6,63 segundos.
KEOPS completó el nivel 9 en 37,315 segundos.
KEOPS completó el nivel 10 en 27,784 segundos.
KEOPS completó el nivel 11 en 31,793 segundos.
KEOPS completó el nivel 12 en 64,46 segundos.
KEOPS completó el nivel 13 en 151,197 segundos.
KEOPS completó el nivel 14 en 36,473 segundos.
KEOPS completó el nivel 15 en 96,97 segundos.
KEOPS completó el nivel 16 en 126,049 segundos.
KEOPS completó el nivel 1 en 252,716 segundos.
KEOPS completó el nivel 2 en 0 segundos.
KEOPS completó el nivel 3 en 0 segundos.
KEOPS completó el nivel 4 en 1,84 segundos.
KEOPS completó el nivel 5 en 1,935 segundos.
KEOPS completó el nivel 6 en 3,557 segundos.
KEOPS completó el nivel 7 en 4,742 segundos.
KEOPS completó el nivel 8 en 13,042 segundos.
KEOPS completó el nivel 9 en 4,602 segundos.
KEOPS completó el nivel 10 en 10,998 segundos.
KEOPS completó el nivel 11 en 20,498 segundos.
KEOPS completó el nivel 1 en 33,126 segundos.
KEOPS completó el nivel 2 en 0 segundos.
KEOPS completó el nivel 3 en 0 segundos.
KEOPS completó el nivel 4 en 18,658 segundos.
KEOPS completó el nivel 5 en 3,089 segundos.
KEOPS completó el nivel 6 en 0 segundos.
KEOPS completó el nivel 7 en 27,955 segundos.
KEOPS completó el nivel 8 en 18,002 segundos.
KEOPS completó el nivel 9 en 30,249 segundos.
KEOPS completó el nivel 10 en 57,845 segundos.
PEPE CAZA completó el nivel 1 en 8,008 segundos.
PEPE CAZA completó el nivel 2 en 0 segundos.
PEPE CAZA completó el nivel 3 en 0 segundos.
PEPE CAZA completó el nivel 4 en 0 segundos.
PEPE CAZA completó el nivel 5 en 0 segundos.
PEPE CAZA completó el nivel 6 en 0,015 segundos.
PEPE CAZA completó el nivel 7 en 0 segundos.
PEPE CAZA completó el nivel 8 en 0 segundos.
PEPE CAZA completó el nivel 9 en 0 segundos.
PEPE CAZA completó el nivel 10 en 0 segundos.
PEPE CAZA completó el nivel 11 en 0 segundos.
PEPE CAZA completó el nivel 12 en 0 segundos.
PEPE CAZA completó el nivel 13 en 0 segundos.
PEPE CAZA completó el nivel 14 en 0 segundos.
PEPE CAZA completó el nivel 15 en 0,016 segundos.
PEPE CAZA completó el nivel 16 en 0,25 segundos.
PEPE CAZA completó el nivel 17 en 0 segundos.
PEPE CAZA completó el nivel 18 en 0 segundos.
PEPE CAZA completó el nivel 19 en 0,046 segundos.
PEPE CAZA completó el nivel 20 en 0 segundos.
PEPE CAZA completó el nivel 21 en 0,297 segundos.
PEPE CAZA completó el nivel 22 en 0 segundos.
PEPE CAZA completó el nivel 23 en 0,093 segundos.
PEPE CAZA completó el nivel 24 en 0,453 segundos.
PEPE CAZA completó el nivel 25 en 0,047 segundos.
PEPE CAZA completó el nivel 26 en 0,452 segundos.
PEPE CAZA completó el nivel 27 en 0,452 segundos.
PEPE CAZA completó el nivel 28 en 0,64 segundos.
PEPE CAZA completó el nivel 29 en 0,421 segundos.
PEPE CAZA completó el nivel 30 en 0,562 segundos.
PEPE CAZA completó el nivel 31 en 1,123 segundos.
ALFREDO CAZA completó el nivel 1 en 12,292 segundos.
ALFREDO CAZA completó el nivel 2 en 0 segundos.
ALFREDO CAZA completó el nivel 3 en 0 segundos.
ALFREDO CAZA completó el nivel 4 en 0 segundos.
ALFREDO CAZA completó el nivel 5 en 0 segundos.
ALFREDO CAZA completó el nivel 6 en 0 segundos.
ALFREDO CAZA completó el nivel 7 en 0 segundos.
ALFREDO CAZA completó el nivel 8 en 0 segundos.
ALFREDO CAZA completó el nivel 9 en 0 segundos.
ALFREDO CAZA completó el nivel 10 en 0 segundos.
ALFREDO CAZA completó el nivel 11 en 0 segundos.
ALFREDO CAZA completó el nivel 12 en 0 segundos.
ALFREDO CAZA completó el nivel 13 en 0 segundos.
ALFREDO CAZA completó el nivel 14 en 0 segundos.
ALFREDO CAZA completó el nivel 15 en 0 segundos.
ALFREDO CAZA completó el nivel 16 en 0 segundos.
ALFREDO CAZA completó el nivel 17 en 0,312 segundos.
ALFREDO CAZA completó el nivel 18 en 0 segundos.
ALFREDO CAZA completó el nivel 19 en 0 segundos.
ALFREDO CAZA completó el nivel 20 en 0 segundos.
ALFREDO CAZA completó el nivel 21 en 0,265 segundos.
ALFREDO CAZA completó el nivel 22 en 0 segundos.
ALFREDO CAZA completó el nivel 23 en 0,374 segundos.
ALFREDO CAZA completó el nivel 24 en 0,172 segundos.
ALFREDO CAZA completó el nivel 25 en 0,281 segundos.
ALFREDO CAZA completó el nivel 26 en 0,265 segundos.
ALFREDO CAZA completó el nivel 27 en 0,687 segundos.
ALFREDO CAZA completó el nivel 28 en 0,967 segundos.
ALFREDO CAZA completó el nivel 29 en 0,842 segundos.
ALFREDO CAZA completó el nivel 30 en 0,718 segundos.
ALFREDO CAZA completó el nivel 31 en 1,061 segundos.
ALFREDO CAZA completó el nivel 32 en 1,279 segundos.
ALFREDO CAZA completó el nivel 33 en 1,357 segundos.
ALFREDO CAZA completó el nivel 34 en 2,45 segundos.
ALFREDO CAZA completó el nivel 35 en 6,536 segundos.
KEOPS completó el nivel 11 en 46,651 segundos.
KEOPS completó el nivel 1 en 37,937 segundos.
KEOPS completó el nivel 2 en 0 segundos.
KEOPS completó el nivel 3 en 8,502 segundos.
ANNAWEN completó el nivel 40 en 5280,799 segundos.
JOSE PESCA completó el nivel 1 en 9,142 segundos.
JOSE PESCA completó el nivel 2 en 0 segundos.
JOSE PESCA completó el nivel 3 en 0 segundos.
JOSE PESCA completó el nivel 4 en 0,016 segundos.
JOSE PESCA completó el nivel 5 en 0 segundos.
JOSE PESCA completó el nivel 6 en 0 segundos.
JOSE PESCA completó el nivel 7 en 0 segundos.
JOSE PESCA completó el nivel 8 en 0 segundos.
JOSE PESCA completó el nivel 9 en 0 segundos.
JOSE PESCA completó el nivel 10 en 0 segundos.
JOSE PESCA completó el nivel 11 en 0 segundos.
JOSE PESCA completó el nivel 12 en 0 segundos.
JOSE PESCA completó el nivel 13 en 0,015 segundos.
JOSE PESCA completó el nivel 14 en 0 segundos.
JOSE PESCA completó el nivel 15 en 0 segundos.
JOSE PESCA completó el nivel 16 en 0 segundos.
JOSE PESCA completó el nivel 17 en 0 segundos.
JOSE PESCA completó el nivel 18 en 0 segundos.
JOSE PESCA completó el nivel 19 en 0 segundos.
JOSE PESCA completó el nivel 20 en 1,061 segundos.
JOSE PESCA completó el nivel 21 en 0 segundos.
JOSE PESCA completó el nivel 22 en 0,312 segundos.
JOSE PESCA completó el nivel 23 en 0,109 segundos.
JOSE PESCA completó el nivel 24 en 0,203 segundos.
JOSE PESCA completó el nivel 25 en 0,328 segundos.
JOSE PESCA completó el nivel 26 en 0,468 segundos.
JOSE PESCA completó el nivel 27 en 0,499 segundos.
JOSE PESCA completó el nivel 28 en 0,327 segundos.
JOSE PESCA completó el nivel 29 en 0,983 segundos.
JOSE PESCA completó el nivel 30 en 1,233 segundos.
JOSE PESCA completó el nivel 31 en 2,402 segundos.
JOSE PESCA completó el nivel 32 en 0,749 segundos.
JOSE PESCA completó el nivel 33 en 2,48 segundos.
JOSE PESCA completó el nivel 34 en 17,929 segundos.
JOSE PESCA completó el nivel 35 en 2,949 segundos.
ZEDFRIT completó el nivel 1 en 57,38 segundos.
ZEDFRIT completó el nivel 2 en 2,933 segundos.
ZEDFRIT completó el nivel 3 en 0 segundos.
ZEDFRIT completó el nivel 4 en 4,353 segundos.
ZEDFRIT completó el nivel 5 en 3,962 segundos.
ZEDFRIT completó el nivel 6 en 24,664 segundos.
ZEDFRIT completó el nivel 7 en 3,245 segundos.
ZEDFRIT completó el nivel 8 en 5,709 segundos.
ZEDFRIT completó el nivel 9 en 13,635 segundos.
ZEDFRIT completó el nivel 10 en 32,729 segundos.
ZEDFRIT completó el nivel 11 en 74,131 segundos.
ZEDFRIT completó el nivel 12 en 54,772 segundos.
ZEDFRIT completó el nivel 13 en 213,526 segundos.
ZEDFRIT completó el nivel 14 en 26,754 segundos.
ZEDFRIT completó el nivel 15 en 42,901 segundos.
ZEDFRIT completó el nivel 16 en 53,524 segundos.
ZEDFRIT completó el nivel 17 en 486,508 segundos.
ZEDFRIT completó el nivel 18 en 75,864 segundos.
ZEDFRIT completó el nivel 19 en 280,092 segundos.
ZEDFRIT completó el nivel 20 en 104,802 segundos.
MAGO TESTER completó el nivel 1 en 24,742 segundos.
MAGO TESTER completó el nivel 2 en 0 segundos.
MAGO TESTER completó el nivel 3 en 4,836 segundos.
MAGO TESTER completó el nivel 4 en 0 segundos.
MAGO TESTER completó el nivel 5 en 13,336 segundos.
MAGO TESTER completó el nivel 6 en 5,288 segundos.
MAGO TESTER completó el nivel 7 en 19,952 segundos.
MAGO TESTER completó el nivel 8 en 6,943 segundos.
MAGO TESTER completó el nivel 9 en 51,729 segundos.
ZEDFRIT completó el nivel 21 en 165,019 segundos.
ZEDFRIT completó el nivel 22 en 199,15 segundos.
MOCO completó el nivel 1 en 36,036 segundos.
MOCO completó el nivel 2 en 0 segundos.
MOCO completó el nivel 3 en 5,71 segundos.
GUERRE TESTER completó el nivel 1 en 150,853 segundos.
GUERRE TESTER completó el nivel 2 en 0,016 segundos.
GUERRE TESTER completó el nivel 3 en 3,994 segundos.
GUERRE TESTER completó el nivel 4 en 6,24 segundos.
GUERRE TESTER completó el nivel 5 en 2,121 segundos.
GUERRE TESTER completó el nivel 6 en 0 segundos.
GUERRE TESTER completó el nivel 7 en 37,472 segundos.
GUERRE TESTER completó el nivel 8 en 3,042 segundos.
GUERRE TESTER completó el nivel 1 en 5,631 segundos.
GUERRE TESTER completó el nivel 2 en 0 segundos.
GUERRE TESTER completó el nivel 3 en 0 segundos.
GUERRE TESTER completó el nivel 4 en 0,016 segundos.
GUERRE TESTER completó el nivel 5 en 0 segundos.
GUERRE TESTER completó el nivel 6 en 0 segundos.
GUERRE TESTER completó el nivel 7 en 0 segundos.
GUERRE TESTER completó el nivel 8 en 0 segundos.
GUERRE TESTER completó el nivel 9 en 0 segundos.
GUERRE TESTER completó el nivel 10 en 0 segundos.
GUERRE TESTER completó el nivel 11 en 0 segundos.
GUERRE TESTER completó el nivel 12 en 0 segundos.
GUERRE TESTER completó el nivel 13 en 0 segundos.
GUERRE TESTER completó el nivel 14 en 0 segundos.
GUERRE TESTER completó el nivel 15 en 0 segundos.
GUERRE TESTER completó el nivel 16 en 0 segundos.
GUERRE TESTER completó el nivel 17 en 17,8 segundos.
GUERRE TESTER completó el nivel 18 en 1,014 segundos.
GUERRE TESTER completó el nivel 19 en 0 segundos.
GUERRE TESTER completó el nivel 20 en 0 segundos.
GUERRE TESTER completó el nivel 21 en 0,577 segundos.
GUERRE TESTER completó el nivel 22 en 0 segundos.
GUERRE TESTER completó el nivel 23 en 0,359 segundos.
GUERRE TESTER completó el nivel 24 en 0,312 segundos.
GUERRE TESTER completó el nivel 25 en 0,343 segundos.
GUERRE TESTER completó el nivel 26 en 0,312 segundos.
GUERRE TESTER completó el nivel 27 en 0,374 segundos.
GUERRE TESTER completó el nivel 28 en 0,921 segundos.
GUERRE TESTER completó el nivel 29 en 0,593 segundos.
GUERRE TESTER completó el nivel 30 en 0,499 segundos.
GUERRE TESTER completó el nivel 31 en 69,695 segundos.
GUERRE TESTER completó el nivel 32 en 1,67 segundos.
GUERRE TESTER completó el nivel 33 en 1,591 segundos.
GUERRE TESTER completó el nivel 34 en 1,934 segundos.
GUERRE TESTER completó el nivel 35 en 2,964 segundos.
GUERRE TESTER completó el nivel 36 en 3,261 segundos.
GUERRE TESTER completó el nivel 37 en 6,115 segundos.
GUERRE TESTER completó el nivel 38 en 7,051 segundos.
GUERRERO DS completó el nivel 1 en 6,839 segundos.
GUERRERO DS completó el nivel 2 en 0 segundos.
GUERRERO DS completó el nivel 3 en 0 segundos.
GUERRERO DS completó el nivel 4 en 0 segundos.
GUERRERO DS completó el nivel 5 en 0 segundos.
GUERRERO DS completó el nivel 6 en 0 segundos.
GUERRERO DS completó el nivel 7 en 0 segundos.
GUERRERO DS completó el nivel 8 en 0 segundos.
GUERRERO DS completó el nivel 9 en 0,062 segundos.
GUERRERO DS completó el nivel 10 en 0 segundos.
GUERRERO DS completó el nivel 11 en 0 segundos.
GUERRERO DS completó el nivel 12 en 0 segundos.
GUERRERO DS completó el nivel 13 en 7,301 segundos.
GUERRERO DS completó el nivel 14 en 0 segundos.
GUERRERO DS completó el nivel 15 en 0 segundos.
GUERRERO DS completó el nivel 16 en 0 segundos.
GUERRERO DS completó el nivel 17 en 0 segundos.
GUERRERO DS completó el nivel 18 en 0,14 segundos.
GUERRERO DS completó el nivel 19 en 0 segundos.
GUERRERO DS completó el nivel 20 en 0 segundos.
GUERRERO DS completó el nivel 21 en 0,734 segundos.
GUERRERO DS completó el nivel 22 en 0 segundos.
GUERRERO DS completó el nivel 23 en 0,093 segundos.
GUERRERO DS completó el nivel 24 en 0,687 segundos.
GUERRERO DS completó el nivel 25 en 0,046 segundos.
GUERRERO DS completó el nivel 26 en 0,765 segundos.
GUERRERO DS completó el nivel 27 en 1,295 segundos.
GUERRERO DS completó el nivel 28 en 1,029 segundos.
GUERRERO DS completó el nivel 29 en 0,64 segundos.
GUERRERO DS completó el nivel 30 en 0,608 segundos.
GUERRERO DS completó el nivel 31 en 21,31 segundos.
GUERRERO DS completó el nivel 32 en 1,076 segundos.
GUERRERO DS completó el nivel 33 en 1,857 segundos.
GUERRERO DS completó el nivel 34 en 2,808 segundos.
GUERRERO DS completó el nivel 35 en 2,917 segundos.
GUERRERO DS completó el nivel 36 en 4,508 segundos.
GUERRERITA completó el nivel 1 en 7,278 segundos.
GUERRERITA completó el nivel 2 en 0 segundos.
GUERRERITA completó el nivel 3 en 0 segundos.
